"","flight.date","flight.num","flight.origin","flight.dest","flight.deptime","flight.arrtime","flight.eq"
"200","2016-01-28","W63082","CRL","OTP","2016-01-28T15:10:00.000","2016-01-28T18:55:00.000","32S"
"201","2016-01-28","W63092","DTM","OTP","2016-01-28T08:25:00.000","2016-01-28T12:00:00.000","32S"
"202","2016-01-28","W63130","PEG","OTP","2016-01-28T13:40:00.000","2016-01-28T16:45:00.000","32S"
"203","2016-01-28","W63132","BGY","OTP","2016-01-28T08:30:00.000","2016-01-28T11:45:00.000","32S"
"204","2016-01-28","W63142","CIA","OTP","2016-01-28T08:10:00.000","2016-01-28T11:15:00.000","32S"
"205","2016-01-28","W63160","TSF","OTP","2016-01-28T08:20:00.000","2016-01-28T11:20:00.000","32S"
"206","2016-01-28","W63172","MAD","OTP","2016-01-28T21:20:00.000","2016-01-29T01:55:00.000","32S"
"207","2016-01-28","W63256","DWC","OTP","2016-01-28T21:55:00.000","2016-01-29T01:20:00.000","32S"
"208","2016-01-28","W63258","TLV","OTP","2016-01-28T09:30:00.000","2016-01-28T12:25:00.000","32S"
"209","2016-01-28","W63302","LTN","CLJ","2016-01-28T08:35:00.000","2016-01-28T13:30:00.000","32S"
"210","2016-01-28","W63304","LTN","CLJ","2016-01-28T12:15:00.000","2016-01-28T17:10:00.000","32S"
"211","2016-01-28","W63362","DTM","CLJ","2016-01-28T14:05:00.000","2016-01-28T17:15:00.000","32S"
"212","2016-01-28","W63382","BGY","CLJ","2016-01-28T21:30:00.000","2016-01-29T00:30:00.000","32S"
"213","2016-01-28","W63394","BLQ","CLJ","2016-01-28T14:20:00.000","2016-01-28T17:05:00.000","32S"
"214","2016-01-28","W63552","BGY","TSR","2016-01-28T14:30:00.000","2016-01-28T17:10:00.000","32S"
"215","2016-01-28","W63672","BGY","IAS","2016-01-28T15:45:00.000","2016-01-28T19:05:00.000","32S"
"216","2016-01-28","W63702","LTN","TGM","2016-01-28T18:40:00.000","2016-01-28T23:35:00.000","32S"
"217","2016-01-28","W63754","LTN","CRA","2016-01-28T18:45:00.000","2016-01-28T23:55:00.000","32S"
"218","2016-01-28","W63772","LTN","SBZ","2016-01-28T08:20:00.000","2016-01-28T13:15:00.000","32S"
"219","2016-01-28","W63796","BGY","KIV","2016-01-28T08:25:00.000","2016-01-28T11:50:00.000","32S"
"220","2016-01-28","W63798","LTN","KIV","2016-01-28T13:10:00.000","2016-01-28T18:30:00.000","32S"
"221","2016-01-28","W64092","DTM","BEG","2016-01-28T14:40:00.000","2016-01-28T16:50:00.000","32S"
"222","2016-01-28","W64284","HHN","TZL","2016-01-28T15:40:00.000","2016-01-28T17:40:00.000","32S"
"223","2016-01-28","W64294","MLH","TZL","2016-01-28T20:30:00.000","2016-01-28T22:20:00.000","32S"
"224","2016-01-28","W64302","LTN","SOF","2016-01-28T21:05:00.000","2016-01-29T02:15:00.000","32S"
"225","2016-01-28","W64304","LTN","SOF","2016-01-28T14:40:00.000","2016-01-28T19:50:00.000","32S"
"226","2016-01-28","W64318","BRS","SOF","2016-01-28T20:35:00.000","2016-01-29T01:55:00.000","32S"
"227","2016-01-28","W64328","CRL","SOF","2016-01-28T08:30:00.000","2016-01-28T12:10:00.000","32S"
"228","2016-01-28","W64332","DTM","SOF","2016-01-28T08:30:00.000","2016-01-28T12:00:00.000","32S"
"229","2016-01-28","W64352","BGY","SOF","2016-01-28T08:15:00.000","2016-01-28T11:15:00.000","32S"
"230","2016-01-28","W64552","LTN","BOJ","2016-01-28T07:55:00.000","2016-01-28T13:25:00.000","32S"
"231","2016-01-28","W67302","DTM","IEV","2016-01-28T19:00:00.000","2016-01-28T22:35:00.000","32S"
"232","2016-01-28","W67674","LTN","KSC","2016-01-28T15:30:00.000","2016-01-28T19:05:00.000","32S"
"233","2016-01-28","W67702","LTN","SKP","2016-01-28T19:45:00.000","2016-01-28T23:55:00.000","32S"
"234","2016-01-28","W67722","DTM","SKP","2016-01-28T08:30:00.000","2016-01-28T11:00:00.000","32S"
"235","2016-01-28","W67728","FMM","SKP","2016-01-28T16:05:00.000","2016-01-28T18:10:00.000","32S"
"236","2016-01-28","W67854","LTN","DEB","2016-01-28T20:45:00.000","2016-01-29T00:30:00.000","32S"
"237","2016-01-28","W68002","LTN","VNO","2016-01-28T07:25:00.000","2016-01-28T12:05:00.000","32S"
"238","2016-01-28","W68006","LTN","VNO","2016-01-28T19:55:00.000","2016-01-29T00:35:00.000","32S"
"239","2016-01-28","W68052","BGY","VNO","2016-01-28T20:20:00.000","2016-01-28T23:45:00.000","32S"
"240","2016-01-29","W61002","LTN","KTW","2016-01-29T08:15:00.000","2016-01-29T11:30:00.000","32S"
"241","2016-01-29","W61006","LTN","KTW","2016-01-29T20:20:00.000","2016-01-29T23:35:00.000","32S"
"242","2016-01-29","W61010","LTN","KTW","2016-01-29T14:15:00.000","2016-01-29T17:30:00.000","32S"
"243","2016-01-29","W61016","DSA","KTW","2016-01-29T21:20:00.000","2016-01-30T00:35:00.000","32S"
